property_id,name,room_type,price,minimum_nights,availability_365,available_since_date
39246,Skylit Midtown Castle,Entire home/apt,225,1,355,2019-01-18
29794,Cozy Entire Floor of Brownstone,Entire home/apt,89,1,194,2019-06-08
26452,Entire Apt: Spacious Studio/Loft by central park,Entire home/apt,80,10,0,2019-06-02
27339,Large Cozy 1 BR Apartment In Midtown East,Entire home/apt,200,3,129,2019-06-12
45991,Cute & Cozy Lower East Side 1 bdrm,Entire home/apt,150,1,188,2019-06-15
29088,"Cute,Cozy Lower East Side 1bdrm",Entire home/apt,150,1,188,2019-01-27
33337,Beautiful 1br on Upper West Side,Entire home/apt,135,5,6,2019-05-09
34953,Lovely Apt & Garden;  Legal;  Best Area; Amenities,Entire home/apt,135,5,162,2019-04-23
39591,West Village Nest - Superhost,Entire home/apt,120,90,0,2019-04-15
43529,Only 2 stops to Manhattan studio,Entire home/apt,140,2,46,2019-05-17
26652,Perfect for Your Parents + Garden,Entire home/apt,215,2,321,2019-02-21
26308,Hip Historic Brownstone Apartment with Backyard,Entire home/apt,99,3,21,2019-02-11
10325,Huge 2 BR Upper East  Cental Park,Entire home/apt,190,7,249,2019-05-06
25968,Sweet and Spacious Brooklyn Loft,Entire home/apt,299,3,0,2019-03-02
32036,"MAISON DES SIRENES1,bohemian apartment",Entire home/apt,120,2,233,2019-06-21
13312,MAISON DES SIRENES 2,Entire home/apt,120,2,237,2019-06-20
40428,Quite place by the park,Entire home/apt,105,1,269,2019-06-27
18561,Midtown Pied-a-terre,Entire home/apt,150,10,75,2019-06-15
23208,LOVELY APARTMENT IN THE HEART OF NY,Entire home/apt,125,4,181,2019-06-14
27589,Modern 1 BR / NYC / EAST VILLAGE,Entire home/apt,180,14,67,2019-06-03
42629,Cute apt in artist's home,Entire home/apt,85,2,22,2019-03-09
40479,Sunny Apartment in Artist Home,Entire home/apt,105,3,9,2019-06-04
8483,Beautiful Sunny Park Slope Brooklyn,Entire home/apt,120,3,345,2019-04-21
37145,BEST BET IN HARLEM,Entire home/apt,150,7,309,2019-02-25
23620,Entire apartment in central Brooklyn neighborhood.,Entire home/apt,150,29,95,2019-01-07
40939,Charming Brownstone 3 - Near PRATT,Entire home/apt,110,7,265,2019-02-15
1114,bright and stylish duplex,Entire home/apt,115,3,0,2019-06-06
38633,Fort Greene brownstone 1BR- SUBLET,Entire home/apt,70,7,0,2019-04-24
12384,Cozy 1BD on Central Park West in New York City,Entire home/apt,151,2,302,2019-05-27
2527,* ORIGINAL BROOKLYN LOFT *,Entire home/apt,228,3,140,2019-03-06
9542,Greenpoint Place...Has It All! ,Entire home/apt,144,2,234,2019-06-12
1558,Beautiful Apartment in Manhattan!!!,Entire home/apt,200,7,257,2019-04-07
38755,Williamsburg 1 bedroom Apartment,Entire home/apt,150,30,30,2019-06-20
6392,**Bright Nolita Apt w Doorman/Elevators/Gym**,Entire home/apt,180,30,154,2019-04-01
37195,2 bedroom - Upper East Side-great for kids,Entire home/apt,250,2,231,2019-02-01
23689,Monthly discount - 2 bedroom  - upper east side,Entire home/apt,150,25,207,2019-02-15
35465,Comfortable 4-bedroom apt in family house.,Entire home/apt,200,30,297,2019-04-14
31405,Large Brooklyn 3 Bedroom Apartment,Entire home/apt,280,5,0,2019-05-25
13416,Light-filled 2B duplex in the heart of Park Slope!,Entire home/apt,225,3,0,2019-03-16
40205,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,Entire home/apt,275,1,362,2019-04-08
37926,SpaHa Loft: Enormous and Bright,Entire home/apt,225,4,215,2019-05-01
47219,Lovely EV Artist's Home,Entire home/apt,230,9,116,2019-01-04
1591,Charming East Village One Bedroom Flat,Entire home/apt,190,5,224,2019-05-17
47606,Spacious luminous apt Upper West NYC,Entire home/apt,110,31,209,2019-06-09
37683,Entire 2 Bedroom - Large & Sunny,Entire home/apt,285,5,328,2019-01-20
1099,"Sunny, Spacious Top Floor Haven",Entire home/apt,130,6,38,2019-06-10
33156,perfect for a family or small group,Entire home/apt,800,1,7,2019-02-16
44326,2 bedroom Williamsburg Apt - Bedford L stop,Entire home/apt,105,3,272,2019-03-24
25384,Spacious Prospect Heights Apartment,Entire home/apt,131,4,207,2019-02-25
5168,St. James Pl Garden Studio 1block to PRATT &Gtrain,Entire home/apt,248,2,199,2019-01-19
34519,Wonderfully cozy studio on Waverly w/nice backyard,Entire home/apt,95,2,327,2019-03-06
19670,2-bed brownstone duplex + garden,Entire home/apt,250,7,158,2019-03-10
12982,Charming 1 bed GR8 WBurg LOCATION!,Entire home/apt,100,5,0,2019-03-03
42329,Light-filled classic Central Park ,Entire home/apt,140,3,198,2019-03-29
36842,The Stuydio Modern and Light Filled,Entire home/apt,125,7,311,2019-03-31
5103,Large 2 Bedroom Great for Groups!,Entire home/apt,125,90,137,2019-06-02
23699,House On Henry (3rd FLR Suite),Entire home/apt,175,2,342,2019-05-05
7527,House On Henry (2nd FLR Suite),Entire home/apt,165,2,342,2019-03-20
3810,House On Henry Parlor Apartment,Entire home/apt,180,4,333,2019-02-08
5993,2000 SF 3br 2bath West Village private  townhouse,Entire home/apt,500,4,243,2019-02-27
24919,Beautiful Duplex Apartment,Entire home/apt,220,30,9,2019-02-12
4581,"Modern Brooklyn Apt., August sublet",Entire home/apt,80,30,222,2019-03-31
