location_id,neighbourhood_group,neighbourhood,latitude,longitude
1,Manhattan,Midtown,40.75362,-73.98377
3,Brooklyn,Clinton Hill,40.68514,-73.95976
4,Manhattan,East Harlem,40.79851,-73.94399
5,Manhattan,Murray Hill,40.74767,-73.975
9,Manhattan,Chinatown,40.71344,-73.99037
4702,Manhattan,Lower East Side,40.71307,-73.99025
10,Manhattan,Upper West Side,40.80316,-73.96545
191,Brooklyn,South Slope,40.6693,-73.98804
14,Manhattan,West Village,40.7353,-74.00525
15,Brooklyn,Williamsburg,40.70837,-73.95352
16,Brooklyn,Fort Greene,40.69169,-73.97185
18,Brooklyn,Crown Heights,40.67592,-73.94694
19,Manhattan,East Harlem,40.79685,-73.94872
20,Brooklyn,Williamsburg,40.71842,-73.95718
24,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028
345,Brooklyn,Bedford-Stuyvesant,40.68314,-73.93963
35889,Brooklyn,Windsor Terrace,40.65777,-73.97487
27,Manhattan,Hell's Kitchen,40.76715,-73.98533
353,Manhattan,Kips Bay,40.73877,-73.97707
29,Manhattan,East Village,40.7292,-73.98542
37,Brooklyn,Bushwick,40.70186,-73.92745
94,Brooklyn,Bushwick,40.70093,-73.92609
41,Brooklyn,South Slope,40.66278,-73.97966
44,Manhattan,Harlem,40.81175,-73.94478
45,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238
47,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591
48,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409
700,Brooklyn,Fort Greene,40.69142,-73.97203
51,Manhattan,Upper West Side,40.78635,-73.97008
52,Brooklyn,Williamsburg,40.7042,-73.9356
53,Brooklyn,Greenpoint,40.73506,-73.95392
54,Manhattan,Kips Bay,40.73961,-73.98074
55,Brooklyn,Williamsburg,40.70881,-73.9593
59,Manhattan,SoHo,40.7221,-73.99775
61,Manhattan,Upper East Side,40.77065,-73.95269
1747,Manhattan,Upper East Side,40.77043,-73.9515
62,Brooklyn,Prospect Heights,40.67811,-73.96428
8681,Brooklyn,Prospect Heights,40.67731,-73.96683
65,Brooklyn,Park Slope,40.67343,-73.98338
67,Brooklyn,Williamsburg,40.70933,-73.96792
69,Manhattan,East Harlem,40.80164,-73.93922
70,Manhattan,East Village,40.72162,-73.98008
74,Manhattan,East Village,40.72828,-73.98801
80,Manhattan,Harlem,40.82915,-73.95136
81,Manhattan,Lower East Side,40.71851,-73.98892
82,Brooklyn,Flatbush,40.65401,-73.96323
84,Brooklyn,Brooklyn Heights,40.69723,-73.99268
85,Brooklyn,Williamsburg,40.71833,-73.95748
90,Brooklyn,Prospect Heights,40.68233,-73.97261
547,Brooklyn,Clinton Hill,40.68634,-73.96161
30758,Brooklyn,Clinton Hill,40.69415,-73.96788
92,Brooklyn,Prospect Heights,40.68035,-73.97162
93,Brooklyn,Williamsburg,40.70984,-73.95775
95,Manhattan,Upper West Side,40.79764,-73.96177
