property_id,review_id
21988,0
21191,10281
8995,13479
24545,13583
19678,13855
22457,21397
36542,17967
14825,2
7513,6
14018,7
39051,8
25626,39
4566,5712
18512,11
2338,12
23391,35
46197,13
29664,17
33888,1223
47535,21
18802,22
3593,23
38851,474
13809,585
326,1763
16414,25
35270,2
2439,28
47735,2
7278,30
13706,33
38720,99
12526,31
44306,32
21719,58
33013,463
3148,34
20719,127
41028,2
19173,2
46490,40
36699,271
33240,42
38629,43
17117,46
46551,49
28181,50
45660,450
30616,451
36241,56
8154,57
26038,109
8116,60
27875,63
23962,2
47437,64
43319,66
16901,3890
12759,68
35259,17497
15839,71
40010,72
28499,3541
36106,73
46266,75
21089,76
34199,77
42222,78
40899,79
43776,88
45695,147
24054,4061
4650,83
13329,86
29110,87
14224,89
40609,91
1825,110
8418,890
35424,2045
1361,96
15020,97
42243,619
19627,101
42318,2863
43837,103
22135,107
30078,172
42645,118
40139,123
46969,124
26626,126
42701,129
43959,131
29400,133
12700,24795
16647,1690
14054,135
40586,136
2675,166
45030,1062
47919,138
36487,352
28005,142
40048,148
46997,1760
21866,1797
10599,22767
46812,149
20969,150
21429,151
36196,153
32384,159
30231,212
8611,160
22689,162
1529,168
11919,169
16049,170
9208,206
6349,6347
18898,174
47377,375
32679,179
4237,486
40751,199
5361,181
17801,466
48554,184
14653,185
21159,204
38480,1351
15113,186
29906,2
42324,2
8054,193
12162,194
24210,195
47251,1483
36774,197
45274,202
11615,2
40335,216
5034,235
13354,437
13993,207
4567,209
13252,210
14925,213
32955,224
25573,1111
31547,225
47610,226
24206,236
7475,242
38573,1576
10694,243
29240,662
27237,247
4019,248
31122,249
29888,254
20349,30741
3925,40024
20153,253
44427,316
30714,256
1130,395
1064,257
42693,13140
31558,2
14439,2
30089,5801
27000,33283
47893,33287
46664,3015
25800,5547
2653,5560
44958,10076
11174,10077
23525,10077
4150,2
16537,262
37944,267
21381,1321
856,13166
45430,2
44018,898
23715,264
9741,966
47663,20096
10382,2
21815,266
47789,268
18180,269
4557,376
22000,273
39514,2
8294,278
44389,281
5648,7187
14883,283
16434,290
688,291
47827,3339
21821,292
37030,296
41196,299
