review_id,number_of_reviews,last_review,reviews_per_month
0,9,10/19/2018,0.21
10281,21,10/27/2018,0.5
13479,17,6/26/2019,0.4
13583,24,5/11/2019,0.64
13855,15,9/29/2018,0.43
21397,19,6/8/2019,0.7
17967,1,7/18/2018,0.08
2,0,,
6,49,10/5/2017,0.4
7,430,6/24/2019,3.47
8,118,7/21/2017,0.99
39,214,7/5/2019,1.81
5712,88,5/19/2019,1.53
11,188,6/23/2019,1.5
12,167,6/24/2019,1.34
35,168,6/21/2019,1.41
13,113,7/5/2019,0.91
17,260,7/1/2019,2.12
1223,5,4/30/2019,0.07
21,130,7/1/2019,1.09
22,39,1/1/2019,0.37
23,71,7/2/2019,0.61
474,20,8/24/2018,0.21
585,23,9/15/2018,0.24
1763,25,5/26/2019,0.36
25,19,6/23/2019,1.37
28,108,6/15/2019,1.11
30,242,6/1/2019,2.04
33,273,7/1/2019,2.37
99,11,1/3/2019,0.87
31,88,6/14/2019,1.42
32,197,6/15/2019,1.65
58,138,6/4/2019,1.19
463,86,6/8/2019,0.89
34,74,5/12/2019,0.66
127,63,5/14/2019,0.58
40,245,6/21/2019,2.08
271,203,6/23/2019,1.96
42,25,9/30/2018,0.23
43,81,6/16/2019,0.69
46,248,7/1/2019,2.25
49,135,6/17/2019,1.16
50,112,6/16/2019,1.01
450,64,7/1/2019,0.68
451,39,6/24/2019,0.41
56,19,5/18/2019,0.17
57,289,6/9/2019,2.49
109,334,6/16/2019,3.0
60,42,6/30/2019,0.38
63,27,9/30/2017,0.23
64,191,5/16/2019,1.65
66,338,7/1/2019,4.72
3890,184,7/1/2019,2.86
68,106,6/21/2019,1.26
17497,2,11/6/2016,0.05
71,23,6/1/2019,0.43
72,49,6/18/2019,1.6
3541,4,4/1/2019,0.19
73,105,6/26/2019,0.92
75,142,7/6/2019,1.5
76,25,5/31/2019,0.22
77,143,6/16/2019,1.28
78,167,5/28/2019,1.65
79,61,4/22/2019,0.54
88,174,6/22/2019,1.54
147,200,6/22/2019,1.86
4061,21,6/14/2019,0.34
83,94,4/8/2019,0.84
86,194,6/30/2019,1.73
87,2,2/14/2016,0.05
89,24,5/26/2019,0.28
91,16,5/31/2019,0.2
110,19,6/2/2019,0.2
890,15,4/22/2019,0.18
2045,38,2/16/2019,0.5
96,1,10/9/2018,0.11
97,30,5/1/2019,0.27
619,80,4/26/2019,0.86
101,68,11/1/2012,0.6
2863,203,7/1/2019,2.87
103,335,5/29/2019,3.02
107,170,6/23/2019,1.61
172,84,6/23/2019,0.78
118,354,5/20/2019,3.2
123,9,10/5/2018,0.08
124,9,9/18/2011,0.08
126,36,8/17/2017,0.33
129,260,7/3/2019,2.35
131,193,5/20/2019,1.86
133,50,5/26/2019,0.45
24795,3,5/20/2018,0.19
1690,1,9/30/2018,0.11
135,2,1/1/2019,0.02
136,426,6/24/2019,3.89
166,294,6/24/2019,3.47
1062,339,6/23/2019,3.88
138,84,7/1/2019,0.77
352,11,6/7/2019,0.11
142,1,9/19/2011,0.01
148,27,6/29/2019,1.05
1760,32,6/29/2019,0.4
1797,37,7/2/2019,0.5
22767,6,5/10/2018,0.24
149,79,6/22/2019,0.74
150,9,5/10/2013,0.09
151,155,6/13/2019,1.61
153,34,5/29/2017,0.32
159,202,5/28/2019,1.86
212,82,6/10/2019,1.13
160,28,4/12/2019,0.26
162,14,4/25/2011,0.13
168,166,6/13/2019,1.66
169,47,6/19/2019,0.94
170,219,7/4/2019,2.04
206,138,6/30/2019,1.45
6347,56,6/23/2019,1.09
174,213,6/24/2019,2.0
375,163,5/24/2019,1.66
179,206,6/30/2019,1.92
486,35,7/2/2019,0.55
199,6,10/8/2015,0.06
181,122,5/14/2019,1.18
466,57,1/1/2019,0.59
184,126,5/19/2019,1.17
185,51,6/24/2019,0.48
204,226,6/6/2019,2.12
1351,73,6/27/2019,0.89
186,199,6/24/2019,1.85
193,285,6/22/2019,2.69
194,375,6/18/2019,3.52
195,52,5/20/2019,0.49
1483,56,7/1/2019,0.67
197,11,11/13/2017,0.48
202,10,1/7/2014,0.09
216,192,6/3/2019,1.84
235,189,6/11/2019,1.82
437,119,5/28/2019,1.22
207,204,6/23/2019,1.92
209,23,7/1/2019,0.22
210,115,12/5/2018,1.17
213,37,12/31/2018,0.35
224,458,7/3/2019,4.58
1111,439,7/5/2019,5.12
225,21,5/17/2019,0.26
226,17,5/8/2019,0.3
236,1,10/7/2018,0.11
242,10,6/1/2019,2.21
1576,6,5/11/2019,0.07
243,171,6/23/2019,1.8
662,151,6/16/2019,1.63
247,193,6/25/2019,1.85
248,147,6/10/2019,1.44
249,177,7/2/2019,1.71
254,333,7/2/2019,3.19
30741,53,6/11/2019,3.4
40024,12,6/24/2019,2.02
253,181,6/23/2019,1.77
316,220,6/22/2019,2.17
256,45,5/16/2019,0.46
395,82,5/19/2019,0.94
257,9,8/29/2016,0.09
13140,1,4/1/2016,0.03
5801,7,7/1/2019,0.14
33283,3,4/28/2019,0.47
33287,4,7/1/2019,1.48
3015,32,1/1/2019,0.46
5547,37,6/16/2019,0.73
5560,41,1/1/2019,0.74
10076,5,7/11/2017,0.12
10077,1,4/20/2019,0.37
262,36,8/19/2018,0.41
267,18,1/2/2019,0.22
1321,5,5/8/2017,0.08
13166,1,7/1/2018,0.08
898,46,5/25/2019,0.62
264,14,1/7/2019,0.14
966,15,6/26/2019,0.57
20096,3,10/27/2018,0.15
266,279,6/24/2019,2.69
268,50,5/26/2019,3.55
269,227,6/27/2019,2.27
376,247,6/21/2019,2.51
273,64,1/5/2019,0.67
278,20,1/2/2019,0.26
281,15,6/30/2019,0.15
7187,1,3/6/2015,0.02
283,109,6/23/2019,1.11
290,93,6/22/2019,0.93
291,104,6/25/2019,1.05
3339,31,6/22/2019,0.46
292,64,7/6/2018,0.68
296,6,11/13/2016,0.1
299,47,6/29/2019,0.49
300,120,6/30/2019,1.27
301,52,1/10/2019,0.63
21871,6,6/23/2019,0.69
309,29,6/16/2019,0.36
315,1,3/28/2011,0.01
319,36,7/1/2019,0.36
325,8,3/27/2016,0.09
221,7,5/24/2019,0.07
328,2,5/12/2011,0.02
337,13,6/27/2019,0.14
363,9,5/19/2018,0.09
675,8,7/26/2018,0.09
676,3,11/3/2015,0.03
677,6,4/19/2018,0.1
678,4,12/4/2015,0.05
680,7,11/16/2018,0.08
320,36,6/14/2019,0.36
323,76,3/31/2019,0.76
826,84,2/16/2019,1.12
1715,1,6/10/2014,0.02
1896,5,5/11/2019,0.06
4645,62,5/26/2019,1.01
3639,1,9/14/2014,0.02
324,182,7/4/2019,1.81
329,66,9/16/2016,0.68
340,223,6/23/2019,2.22
549,172,7/2/2019,1.84
17343,10,12/18/2016,0.27
