property_id,host_id
21988,12507
21191,12507
8995,12507
24545,12507
19678,12507
22457,12507
36542,25533
14825,5600
7513,30796
14018,12872
39051,27249
25626,25294
4566,25294
18512,23911
2338,842
23391,842
46197,7701
29664,17872
33888,8723
47535,2486
18802,2486
3593,2486
38851,2486
13809,2486
326,2486
16414,24040
35270,31219
2439,11505
47735,11505
7278,21467
13706,21467
38720,21467
12526,2353
44306,4967
21719,4967
33013,4967
3148,13330
20719,13330
41028,189
19173,317
46490,10392
36699,10392
33240,14878
38629,20485
17117,33336
46551,18896
28181,7506
45660,7506
30616,7506
36241,8521
8154,32085
26038,32085
8116,22571
27875,29180
23962,29180
47437,6548
43319,35185
16901,35185
12759,26853
35259,26853
15839,12765
40010,17643
28499,17643
36106,18885
46266,3710
21089,11769
34199,8492
42222,6127
40899,34586
43776,34586
45695,34586
24054,34586
4650,514
13329,12387
29110,23372
14224,35571
40609,22559
1825,22559
8418,22559
35424,22559
1361,3603
15020,18206
42243,18206
19627,2696
42318,23307
43837,9562
22135,35251
30078,24597
42645,27532
40139,6541
46969,29755
26626,15957
42701,35266
43959,10398
29400,37056
12700,37056
16647,37056
14054,16561
40586,17726
2675,17726
45030,17726
47919,10009
36487,10009
28005,36074
40048,28116
46997,28116
21866,28116
10599,28116
46812,8760
20969,22243
21429,36452
36196,33058
32384,9408
30231,9408
8611,35376
22689,33354
1529,20135
11919,6043
16049,18034
9208,18034
6349,18034
18898,7782
47377,7782
32679,28471
4237,28471
40751,21991
5361,32101
17801,32101
48554,31647
14653,1925
21159,1925
38480,1925
15113,29096
29906,538
42324,538
8054,31656
12162,22007
24210,30294
47251,30294
36774,21303
45274,14831
11615,34140
40335,11786
5034,11786
13354,11786
13993,8132
4567,19137
13252,31657
14925,17895
32955,32740
25573,32740
31547,23653
47610,25168
24206,22424
7475,19872
38573,19872
10694,37158
29240,37158
27237,24500
4019,24500
31122,24500
29888,24500
20349,24500
3925,24500
20153,20076
44427,20076
30714,7636
1130,7636
1064,19718
42693,19718
31558,2640
14439,2640
30089,2640
27000,2640
47893,2640
46664,18587
25800,18587
2653,18587
44958,18587
11174,18587
23525,18587
4150,18587
16537,13042
37944,13042
21381,13042
856,13042
45430,2180
44018,2180
23715,14772
9741,14772
47663,14772
10382,14772
21815,10970
47789,3354
18180,22291
4557,22291
22000,717
39514,21345
8294,12269
44389,28612
5648,28612
14883,25213
16434,16547
688,24856
47827,24856
21821,8112
37030,14498
41196,27481
24691,2201
33717,18898
8446,10102
12242,4832
31883,3955
977,10903
10172,10903
38790,10903
15101,10903
2982,10903
26737,10903
10434,10903
23610,10903
42414,10903
273,10903
33636,10903
19834,19798
35616,10374
11869,10374
31486,10374
40835,10374
36621,10374
18323,10374
14438,33305
31534,25097
32064,12025
31616,12025
9520,6518
45755,17353
43117,12706
37633,12706
29450,6803
12786,10951
17506,11063
29032,34869
43980,12710
5024,12710
10743,32441
16169,16389
24782,12936
23843,26390
46006,20747
37909,4238
47695,3227
27062,12475
24193,17768
39776,15440
84,34713
41515,11371
29518,11371
35493,16600
26614,30887
5261,2334
9760,10453
38470,10453
30910,10453
29927,21676
30521,15514
37563,15514
18341,20621
41732,20621
44207,20621
36353,19213
25231,3267
15889,3267
18174,3267
29610,30113
17318,30113
14952,30113
14259,30113
29918,20849
8472,11805
41948,4655
5979,13129
26168,13129
29247,23156
34905,13583
45749,3215
4369,12253
20873,17547
11145,24159
20683,24159
22695,13312
45341,4596
24361,25384
2839,33535
33279,33535
41197,21291
37499,4982
11224,36461
11176,36461
17383,14713
45212,21870
2377,6092
27344,33131
5544,35346
46244,36257
4128,29055
21249,27406
38494,26709
15265,27914
22877,27914
18348,18235
16821,14849
33458,2291
45476,18361
7655,25076
33973,11130
33883,11130
4249,27423
33949,31133
14533,31133
8396,23479
24076,33532
5122,12532
40056,190
31549,190
10092,23104
43987,12261
13140,17440
34494,35355
14972,35355
1179,3419
35777,27589
36086,15988
44483,22598
32190,5732
40493,27180
39479,7604
38808,7604
25915,7604
10098,351
41085,351
20650,26606
47446,34164
25987,17744
17478,34707
6103,7209
25175,7209
26183,5788
25862,5788
38752,37215
21420,37215
3694,37215
18167,37215
34304,37215
40024,37215
10795,37215
41272,37215
21233,37215
24438,35546
1104,2747
10046,33728
5977,33728
46061,33728
26358,11441
10968,22886
41584,19793
21736,25258
17920,24390
42288,24390
47154,24390
46611,21639
19063,13726
45500,18393
12267,9029
20664,9029
1808,36160
37472,11485
8437,15871
2832,20526
25936,35081
46760,20471
32745,12045
8892,12773
40394,25853
16846,25853
1702,25853
18658,29420
17435,1247
36332,32699
26190,5690
31289,30846
34546,30846
15558,8237
23854,8237
33765,27656
21006,27719
39361,3897
12203,28875
1679,31621
43524,11379
734,18704
36124,18704
16486,26047
3012,14102
32063,14102
39936,4838
642,8216
11502,29591
14650,35916
11029,806
24577,24845
20243,24845
34484,23328
4854,29877
12986,32695
29466,32695
47211,16776
46097,16776
43659,29777
13084,29777
24645,29777
46136,36664
4630,36664
48130,31490
6741,31490
44952,31214
7656,4451
48114,24922
16234,3118
47122,8643
34623,8643
29435,8643
19385,1549
8571,24690
48442,29214
41076,827
24611,3764
20296,26980
24431,24526
44198,27641
25401,17358
1119,17358
28415,4662
15329,36262
14270,6454
44035,31408
22113,33491
33311,24747
38441,22400
40474,102
27645,102
15587,29780
25668,29780
11912,17845
36990,17845
1324,4375
34496,14196
44051,14196
12179,14196
10715,31294
44814,31294
26621,34129
12573,25464
12957,14276
18648,14276
42013,14276
5941,14276
12339,11335
17692,7942
8807,3146
31265,16978
27387,7463
11996,34649
6729,666
46835,26147
5881,30241
6801,35968
32408,28251
10549,30695
35563,33396
14771,32989
36584,24251
29640,24251
10701,33286
8003,33286
46809,4394
29729,37052
12830,37052
22739,5622
10777,6677
32279,34116
18278,34116
36009,21144
48369,21144
40317,36659
12177,23683
5449,13171
6285,13171
9131,31325
358,25216
40015,5703
16338,16076
12428,20868
30985,12411
38393,30599
35704,30599
8761,30599
15686,9590
7444,9590
33345,9590
18634,9590
17491,9590
25269,9590
19051,19208
13473,35288
45034,23026
32965,23026
14458,23674
43721,35633
16431,35633
33540,35633
24695,23480
2297,2928
34485,26344
37133,2343
29865,25259
46879,2257
27080,11238
32071,2553
39014,4435
13410,32899
19148,36016
13493,28871
34765,32087
11317,32087
2476,319
39341,319
42240,487
35649,30580
21286,18771
34790,271
41669,30585
18464,14944
8890,6665
27776,6665
19940,6665
65,630
10034,630
21104,630
19614,630
10998,630
15157,630
42175,630
41848,630
47080,8887
46275,37096
27220,18810
45017,27969
33932,11507
35490,26314
42402,26314
1040,12942
11805,33746
9989,26126
3400,3280
15711,3280
26111,19735
38428,15899
1615,1699
25426,34323
39025,25367
33314,25367
13154,27894
38824,12351
30371,1160
40259,1160
30179,1160
47799,4388
9656,22338
33177,17062
45762,17062
15959,31962
19620,33788
30601,33788
47000,30333
30807,8315
44651,8315
13844,3722
14154,28588
28668,19038
14871,28771
2490,28771
39727,28771
8457,28771
39350,12212
30753,19257
34521,11793
32624,8282
30763,8282
13271,13944
14262,7352
17380,4470
42742,29168
41063,2999
8907,24167
2739,19545
34289,28713
25528,2091
47167,16880
23847,93
13554,93
25178,17086
19906,22695
7317,27768
43934,17695
41147,27581
20316,18978
12272,15604
25087,15604
44819,15604
15520,15604
15108,15604
12072,3723
27733,25617
7214,26926
19866,13287
24993,13287
28659,4122
30305,4122
12042,4517
30675,3409
697,30907
85,27081
25011,1005
48517,12329
16615,19639
30465,5010
20716,26037
15544,2200
9739,22983
11498,21931
44944,36127
41219,36127
26975,36127
34629,9106
12029,31348
45544,31616
1472,25767
34239,35734
43672,8541
6533,18938
33085,23338
2715,23338
27092,9511
2574,20214
26515,26693
35438,1813
33760,104
40896,30555
38771,30555
21225,30555
12665,14609
11751,17304
8548,37173
12932,37173
31881,37173
11842,24886
36298,22705
44711,22705
42008,22705
10644,22705
26202,22705
1893,22705
1927,22705
25364,22705
3337,5739
16879,33533
41695,24279
21217,4887
38457,15951
6006,18442
5532,36198
2929,19278
48077,7003
13014,7033
34210,9034
29445,2882
12322,11675
23228,3077
2316,17217
22781,11807
37386,11807
44656,34446
24097,31435
34114,31933
15234,10466
30983,10466
38789,29179
23478,26094
29916,18605
23862,30234
14988,30234
31508,30234
7627,30234
48036,27320
43440,27320
18985,26620
48396,26620
47624,4903
14009,382
14586,20270
11366,9104
41535,8662
19483,28593
35532,28593
39598,30003
26298,13057
28847,28432
24767,1282
28007,4289
40990,30908
37787,22944
15651,11803
16671,1360
35910,10412
35420,10412
2324,13337
17931,10342
26986,9409
17812,9409
41148,19968
38222,19145
39637,27369
20770,850
38306,850
41951,32196
37116,36910
20850,9546
13233,18536
38381,18536
40831,3939
8736,32594
36449,32598
19455,13100
27857,5526
36673,6388
8637,804
24915,804
490,804
45475,35608
34119,35608
44279,36510
34369,32245
5594,22776
3260,4536
23264,20603
45589,16919
17982,11923
27523,17689
42618,26066
45622,30005
28603,29784
1207,28834
46322,2076
6358,28452
34413,1331
763,33495
45824,11665
37701,6725
43757,30247
39548,12560
19651,12560
37260,6154
35142,4637
6890,7012
6451,7012
15285,1896
23670,20133
14057,20133
27924,5041
11150,5041
11123,12022
28373,12022
4045,14370
23829,7477
11939,7477
13240,31255
2996,33507
33483,13861
32124,14774
25775,14774
8990,12554
11612,12554
3821,23403
40127,23403
14845,23403
6167,23748
39706,1257
45897,15798
44956,33439
35360,33439
43423,16749
28145,16749
31519,17898
18159,28330
24884,33828
14944,18
14554,25224
5332,27199
36700,27199
34070,21126
4987,2446
2780,2446
32448,2446
32644,30110
12415,30110
6133,30110
39826,12044
36291,3260
38338,29020
42602,3834
8898,6462
14341,19112
22651,15094
14190,5429
29907,21874
12229,7019
24885,3357
24094,3357
26888,3357
42180,3357
28961,4290
38271,33065
34729,34548
5905,29247
27667,29247
17971,29247
9786,29247
43298,29247
15529,29247
195,29247
40754,29247
5242,29247
4708,29247
29469,29247
11160,29247
10128,29247
30998,29247
31382,29247
34986,29247
42059,29247
26234,29247
88,20948
585,7808
17078,24371
13301,19358
38934,19358
39348,19358
27741,19079
7093,19079
18398,19079
43670,503
28117,20932
9553,20932
12620,28762
10860,34290
9086,22038
31977,25108
27903,25108
12913,25108
47557,25108
29819,25108
37986,30426
47459,5118
30325,5322
45606,7526
45389,6041
10400,28133
3004,11611
23958,6640
43548,657
5065,20364
43507,13936
4166,14414
42373,18306
37919,28060
5171,3610
18230,2081
21232,4383
8644,22079
11313,11558
16179,36588
48058,2487
45433,3442
24653,19009
17629,20439
18335,29745
30577,10268
27640,11802
14626,11802
48073,11802
5455,3259
7175,3259
33354,36637
47860,20280
26197,36238
3913,27032
45377,8585
32768,29705
46449,35199
4657,15449
40584,30832
18571,20705
46168,20705
41435,20705
27087,20705
19219,26186
3775,26186
10600,26186
25974,26186
28116,17018
22608,12019
38084,28634
46374,28634
34537,28634
38562,2987
15999,33390
34236,15693
22039,15940
30365,15940
36877,15454
25344,35463
21153,18243
23861,1747
38814,22923
30870,19067
44140,36536
12346,36536
30058,28498
43504,28498
39242,31537
26935,29934
22340,29934
10470,29934
22045,390
25221,16045
1350,10167
14802,33914
25099,1997
1751,1997
3064,32391
1395,19445
23994,19445
36027,19445
41531,10570
38173,33964
41517,24869
34062,24212
3661,24212
25497,11526
13148,33378
44529,16569
36538,2830
8414,36015
15647,19046
18045,15249
33455,18437
26729,18437
6998,18437
12048,9914
41823,2461
42487,17034
42091,22511
16518,20652
19282,9155
36138,29035
15875,29035
45567,14034
32941,12138
7864,30904
2731,30904
11818,13321
44880,33870
19113,33870
27324,1740
26456,1740
46631,1740
7632,1740
9825,1740
28077,27357
47986,3152
8281,3152
43285,1668
8035,9460
24447,25253
10521,25253
21255,36577
7662,17308
9464,37079
40854,37079
29510,37079
8864,22675
1321,36542
8341,9982
48336,9982
19162,22906
29465,11845
7749,35312
20780,28156
18416,28156
28623,16035
10602,7037
9204,24589
41699,21353
23028,21353
28899,21353
11985,21353
6326,17835
11539,10617
42649,10617
23339,10617
36457,699
40530,2205
41782,15887
4259,20721
17085,20721
33505,28893
9320,19946
10245,19946
43917,19946
31270,35960
31219,6069
43704,4279
42130,4279
31860,4279
126,36738
24570,5262
45939,32533
39307,16080
44038,16080
28664,16080
10880,27525
23034,27525
24075,14118
42549,14118
41387,18817
12395,26911
22112,18902
13196,6249
11736,10251
30267,14461
18579,23545
33271,17383
2048,11711
31541,35697
29012,8463
34260,8463
144,8463
25990,3700
11453,3700
24188,9859
35274,759
36926,6138
11072,15962
17062,36557
37135,36557
40991,36557
47342,17809
508,17809
15939,33430
45552,35124
25298,35124
9038,11922
44590,17360
39512,36569
46167,3483
32636,22205
47674,29875
39367,7043
12778,36951
12341,36951
19418,16062
18207,16062
43914,16062
38640,10852
36112,31049
23139,31049
62,29394
32507,29394
31876,35112
19812,404
3123,404
15316,34314
31215,24112
34447,19483
16360,24520
38681,24520
27797,37133
15640,19426
9513,34889
45688,34889
9081,34889
35522,3016
28926,5810
32436,30929
27971,30290
15552,18052
10473,8940
32407,8940
44770,8940
18871,26055
46169,26055
15055,33487
45026,33487
7081,33487
39672,5138
10556,17351
25705,17351
12134,17351
1700,12392
35512,20960
42555,20960
10424,32030
45200,9877
24548,16446
31603,16446
25799,30876
45163,10493
24354,9391
27179,2482
8555,8664
2258,26658
36952,874
20710,874
18506,13767
22528,29850
3762,26939
4968,26939
37393,26939
18342,26939
2625,26939
5680,26939
38959,11759
25211,2678
48501,2678
29955,2678
22631,2678
548,24971
31292,34513
32521,12869
20973,12869
31374,12869
24612,12869
13211,27662
38391,14927
160,30712
19212,30712
46859,12005
16532,4958
7797,4958
21434,12445
44299,22004
2085,31055
11647,7617
32642,7617
4032,36114
45532,36114
30765,7459
45442,7459
12085,7459
24046,24575
4016,14694
2350,27465
24414,27465
10374,32972
46010,30443
34999,18585
13497,7083
9719,7295
23274,36954
21386,13603
19724,19370
19390,32281
30506,32003
2059,6663
43742,14011
11337,768
26945,20346
43102,15203
32265,17765
6082,12631
9129,27879
5264,7450
22411,13871
29195,574
2802,33664
17673,3218
27146,35931
11175,11521
14250,24865
23642,11621
46563,11396
36769,28652
46598,11608
30345,26125
26971,2373
1031,25583
40858,22112
9605,22112
14245,22112
19140,4156
31759,4156
25589,10702
32151,32116
6154,24763
3590,4073
31397,30890
24433,29919
14399,14311
48049,14311
43287,30914
9902,1880
45640,1880
44649,2342
45502,23291
40836,35823
24778,35823
7258,31169
34394,31169
21653,32732
17725,6701
44147,6701
25056,6701
37319,6701
28553,1704
45001,4840
2374,4840
11409,7135
36524,23959
9961,23959
18064,11252
3465,36446
22745,23202
25856,23202
37354,8705
14423,8705
26961,29887
1198,27729
24810,16067
43329,34829
10427,12568
44480,12568
5879,12568
6508,12568
5960,12568
22632,12568
31880,12568
9859,12568
33253,12568
7180,12568
196,12568
18790,12568
7803,12568
3174,12568
40540,34036
13714,3567
16795,16694
21886,12764
12455,33815
18948,14465
35386,8297
28604,24204
8234,24204
44296,36467
26782,1387
23163,23013
18202,28199
17660,28199
28800,2955
10188,2131
45868,27062
18065,11301
3793,807
37340,14153
8871,4756
45076,4756
37342,12769
12812,12769
3353,23671
36121,803
46862,803
40012,31018
22774,18962
8145,17855
15053,17855
41351,17855
38214,24735
47922,1581
15275,11156
18700,8001
29028,24331
42951,13636
46329,13636
11728,7134
21909,28000
6705,16550
22883,24094
38115,21531
27188,23739
29996,15522
20598,27842
33791,16267
14364,30409
28461,30409
25454,12110
11137,12110
12367,15995
9672,31295
42149,8706
45105,33754
33336,11704
36768,36120
40271,10240
25362,10240
32698,34278
11753,36618
4472,36618
18465,12016
46102,22977
7231,9330
7391,21379
32112,21379
35582,35797
32209,35797
35408,35797
28928,35797
28651,35797
23432,33463
31650,16990
45757,36941
22696,32104
27852,7918
10524,26237
21205,19147
5915,9997
9206,7653
14390,21436
5452,23000
34529,999
41679,1231
45409,17969
43854,18447
47196,6155
19828,6155
6612,32337
34140,2246
18302,2246
9830,34941
22119,16808
37818,5729
2068,31871
48500,31871
41846,24778
47493,7871
37356,33558
28233,21286
46082,21286
45973,21286
25789,21286
32647,21286
35806,21286
28313,21286
8602,21286
16398,21286
24393,21286
40238,5327
24030,32057
33028,32057
48280,32057
48248,32057
18614,32057
39847,31182
4718,31182
17182,31182
5173,28212
44694,22855
7233,34078
47383,31356
35030,4392
2826,3154
16713,15774
43337,8241
6733,16474
24831,23989
17364,35523
37811,35523
30272,15600
41247,15600
43758,11402
4911,11402
10340,11402
31530,820
17539,28720
11418,28720
44803,11428
31800,8464
